gene_id	entrez_id	gene_name	symbol
spag7	394100	sperm associated antigen 7	spag7
cops8	393198	COP9 signalosome subunit 8	cops8
psmc2	393941	proteasome 26S subunit, ATPase 2	psmc2
hcn3	560709	hyperpolarization activated cyclic nucleotide-gated potassium channel 3	hcn3
klhl36	553604	kelch-like family member 36	klhl36
chchd4a	445144	coiled-coil-helix-coiled-coil-helix domain containing 4a	chchd4a
aagab	436696	alpha and gamma adaptin binding protein	aagab
usp38	563778	ubiquitin specific peptidase 38	usp38
zcchc14	796219	zinc finger, CCHC domain containing 14	zcchc14
dnaaf5	100333660	dynein axonemal assembly factor 5	dnaaf5
ckbb	140744	creatine kinase, brain b	ckbb
myorg	100537539	myogenesis regulating glycosidase (putative)	myorg
myo5ab	565267	myosin VAb	myo5ab
naa40	550325	N-alpha-acetyltransferase 40, NatD catalytic subunit	naa40
hsd11b2	334098	hydroxysteroid (11-beta) dehydrogenase 2	hsd11b2
trip13	393554	thyroid hormone receptor interactor 13	trip13
si:dkey-174n20.1	796174	si:dkey-174n20.1	si:dkey-174n20.1
drosha	567505	drosha ribonuclease III	drosha
ubfd1	562437	ubiquitin family domain containing 1	ubfd1
si:ch211-161h7.5	569866	si:ch211-161h7.5	si:ch211-161h7.5
pald1a	368369	phosphatase domain containing paladin 1a	pald1a
ankdd1a	569271	ankyrin repeat and death domain containing 1A	ankdd1a
zgc:162952	555791	zgc:162952	zgc:162952
zgc:162707	100002095	zgc:162707	zgc:162707
